MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
6363,50820,2577,0,HD 50820,HD 50820/HR 2577,,,,,103.67541666666666,-1.756388888888889,6.0,6.0,9.0,,6.21,0.56,B3IVe+K2II,0.0,1.0,
6364,54662,2694,34536,SNA 5,HD 54662/HR 2694/SNA 5,,,,,107.33458333333334,-10.347222222222223,5.0,-20.0,58.0,,6.21,0.03,O6.5V,0.0,0.0,
6365,60325,2897,0,HD 60325,HD 60325/HR 2897,,,,,113.34208333333332,-14.338333333333336,-10.0,-4.0,22.0,,6.21,-0.04,B1V,0.0,0.0,
6366,62897,3012,0,HD 62897,HD 62897/HR 3012,,,,,115.72208333333332,-58.23,-30.0,33.0,-22.0,,6.21,1.05,K0III,0.0,0.0,
6367,62141,2978,0,HD 62141,HD 62141/HR 2978,,,,,115.8425,22.399444444444445,-26.0,13.0,-3.0,,6.21,0.93,K0III,0.0,0.0,
6368,66684,3164,39607,Σ 1177,HD 66684/HR 3164/Σ 1177,,,,,121.40416666666668,27.529722222222222,0.0,-9.0,-17.0,7.0,6.21,0.01,A0V,0.0,1.0,
6369,69445,3251,40476,β 454,HD 69445/HR 3251/β 454,,,,,123.96875,-30.925833333333333,-47.0,-5.0,6.0,9.0,6.21,0.78,G5-8III+G:,0.0,0.0,
6370,75086,3489,42936,RMK 9,HD 75086/HR 3489/RMK 9,,,,,131.27208333333334,-58.725,-31.0,-20.0,28.0,6.0,6.21,-0.09,B7III,0.0,0.0,
6371,75081,3488,0,HD 75081,HD 75081/HR 3488,,,,,131.5991666666667,-41.12555555555556,-18.0,-1.0,23.0,,6.21,-0.05,B9Ve,0.0,0.0,
6372,86612,3946,48943,HDS 1439,HD 86612/HDS 1439/HR 3946,,,,,149.77541666666664,-23.950277777777774,-49.0,23.0,15.0,,6.21,-0.1,B4Ve,0.0,1.0,
6373,87682,3973,49530,14 Sex,14 Sex/CHR 30/HD 87682/HR 3973,,,14 Sex,Sex,151.6975,5.6113888888888885,-34.0,-13.0,17.0,,6.21,0.94,K1III,0.0,0.0,
6374,93308,4210,0,HD 93308,Eta Car/HD 93308/HR 4210,,,,,161.265,-59.68416666666666,-4.0,9.0,-25.0,,6.21,0.61,pec,1.0,1.0,
6375,97866,4364,0,HD 97866,HD 97866/HR 4364,,,,,168.725,-43.73416666666667,-25.0,-16.0,9.0,,6.21,1.61,K4III,0.0,0.0,
6376,98499,4383,0,HD 98499,HD 98499/HR 4383,,,,,170.22416666666666,67.10055555555554,49.0,-52.0,-56.0,,6.21,1.01,G8,0.0,0.0,
6377,101369,4490,56901,β 1078,HD 101369/HR 4490/β 1078,,,,,174.96291666666667,-14.46861111111111,-38.0,-11.0,5.0,,6.21,0.0,A1V,0.0,0.0,
6378,103789,4571,0,HD 103789,HD 103789/HR 4571,,,,,179.26541666666665,-33.31527777777777,-55.0,3.0,-10.0,,6.21,-0.04,A0V,0.0,1.0,
6379,107301,4692,0,HD 107301,HD 107301/HR 4692,,,,,185.11666666666667,-65.84277777777777,-56.0,-15.0,-8.0,,6.21,-0.04,B9V,0.0,0.0,
6380,108845,4761,60988,β pm 143,7 CVn/HD 108845/HR 4761/LEP 56/β pm 143,,β pm 143,7 CVn,CVn,187.5120833333333,51.535555555555554,-289.0,24.0,19.0,35.0,6.21,0.51,F6-8V,0.0,0.0,
6381,108954,4767,0,HD 108954,HD 108954/HR 4767,,,,,187.70875,53.07666666666667,15.0,181.0,-21.0,,6.21,0.54,F8-G0V,0.0,0.0,
6382,116061,5033,0,HD 116061,HD 116061/HR 5033,,,,,200.37458333333333,-19.48888888888889,-66.0,8.0,-8.0,,6.21,0.09,A2V,0.0,1.0,
6383,119035,5143,0,HD 119035,HD 119035/HR 5143,,,,,205.065,31.011944444444445,-78.0,87.0,-18.0,,6.21,0.96,G5II:,0.0,0.0,
6384,119623,5166,0,HD 119623,HD 119623/HR 5166,,,,,206.19041666666664,-25.500833333333333,-53.0,-16.0,6.0,,6.21,1.38,K0,0.0,0.0,
6385,126035,5383,70336,2 Lib,2 Lib/HD 126035/HR 5383,,,2 Lib,Lib,215.85666666666663,-11.714166666666666,-9.0,-58.0,-1.0,,6.21,0.99,G7III,0.0,0.0,
6386,142407,5916,0,HD 142407,HD 142407/HR 5916,,,,,238.8766666666667,-31.08361111111111,14.0,24.0,44.0,,6.21,1.37,K4III,0.0,0.0,
6387,143248,5952,78445,COO 190,COO 190/HD 143248/HR 5952/I 1280,,,,,240.22375,-40.43527777777778,14.0,37.0,-15.0,,6.21,0.01,A0V,0.0,0.0,
6388,143900,5973,0,HD 143900,HD 143900/HR 5973,,,,,240.97791666666663,-24.726388888888888,1.0,9.0,26.0,,6.21,1.38,K0,0.0,0.0,
6389,146603,6069,0,HD 146603,HD 146603/HR 6069,,,,,243.10458333333332,67.14416666666668,-23.0,-43.0,-10.0,,6.21,0.99,G8III,0.0,0.0,
6390,155154,6379,0,HD 155154,HD 155154/HR 6379,,,,,255.4175,75.29722222222222,16.0,-79.0,1.0,,6.21,,F0IV-Vn,0.0,1.0,
6391,155940,6403,0,HD 155940,HD 155940/HR 6403,,,,,258.96458333333334,-30.210555555555555,-1.0,-37.0,-4.0,,6.21,-0.03,B9.5V,0.0,0.0,
6392,157546,6473,0,HD 157546,HD 157546/HR 6473,,,,,261.1545833333333,-18.445833333333333,18.0,-4.0,-21.0,,6.21,0.03,B9Vn,0.0,0.0,
6393,157968,6496,0,HD 157968,HD 157968/HR 6496,,,,,261.75875,-12.5125,37.0,-62.0,-40.0,,6.21,0.51,F7V,0.0,0.0,
6394,162714,6661,87495,KRV 46,EVS 32/HD 162714/HR 6661/KRV 46,,,,,268.1616666666667,-6.143611111111111,8.0,-9.0,-5.0,-6.0,6.21,1.4,F8Ib-G3Ib,0.0,1.0,
6395,164028,6704,0,HD 164028,HD 164028/HR 6704,,,,,270.00041666666664,-20.339166666666664,5.0,-7.0,-8.0,,6.21,1.4,K0II-III,0.0,0.0,
6396,164900,6741,88346,97 Her,97 Her/HD 164900/HR 6741,,,97 Her,Her,270.6254166666667,22.92305555555556,-4.0,-8.0,-36.0,,6.21,-0.1,B3Vn,0.0,0.0,
6397,165358,6753,0,HD 165358,HD 165358/HR 6753,,,,,270.7875,48.464444444444446,29.0,15.0,-13.0,,6.21,0.03,A2V,1.0,0.0,
6398,171746,6981,91159,RED 25,HD 171746/HR 6981/RED 25/SLE 214/ΟΣ 358,,,,,278.97166666666664,16.975555555555555,49.0,-68.0,10.0,20.0,6.21,0.53,G2V+G2V,0.0,1.0,
6399,173954,7076,0,HD 173954,HD 173954/HR 7076,,,,,282.01125,4.241388888888889,-2.0,14.0,-1.0,,6.21,1.51,K5,0.0,0.0,
6400,176095,7163,93138,TOK 621,HD 176095/HR 7163/TOK 621,,,,,284.5991666666667,6.240277777777778,-3.0,-104.0,-9.0,,6.21,0.46,F5IV,0.0,0.0,
6401,186837,7527,0,HD 186837,HD 186837/HR 7527,,,,,297.59041666666667,-61.061388888888885,-6.0,-1.0,-15.0,,6.21,-0.14,B5V,0.0,0.0,
6402,191096,7692,98946,KPP 4184,HD 191096/HR 7692/KPP 4184,,,,,301.33958333333334,56.34138888888889,-4.0,80.0,-12.0,,6.21,0.43,F4V,0.0,0.0,
6403,193373,7771,0,HD 193373,HD 193373/HR 7771,,,,,304.87166666666667,13.216944444444444,-29.0,-12.0,23.0,,6.21,1.63,M1III,0.0,0.0,
6404,194953,7824,0,HD 194953,HD 194953/HR 7824,,,,,307.06999999999994,2.936944444444445,49.0,-2.0,-22.0,,6.21,0.9,G8III,0.0,0.0,
6405,198208,7964,102780,HJ 3000,HD 198208/HJ 3000/HR 7964,,,,,312.3354166666667,-18.035833333333336,2.0,-30.0,44.0,,6.21,1.42,K3III,0.0,0.0,
6406,198404,7975,102833,ΟΣΣ 210,HD 198404/HR 7975/ΟΣΣ 210,,,,,312.49625000000003,5.544722222222222,40.0,6.0,-22.0,,6.21,0.98,K0,0.0,0.0,
6407,199960,8041,103682,11 Aqr,11 Aqr/HD 199960/HR 8041,,,11 Aqr,Aqr,315.1408333333333,-4.730277777777778,51.0,-137.0,-17.0,33.0,6.21,0.63,G1V,0.0,0.0,
6408,202135,8117,0,HD 202135,HD 202135/HR 8117,,,,,318.81125000000003,-40.506388888888885,139.0,-9.0,-42.0,,6.21,1.14,K2III,0.0,0.0,
6409,205877,8269,106978,HDS 3084,HD 205877/HDS 3084/HR 8269,,,,,324.99875,-52.35916666666667,-17.0,1.0,0.0,,6.21,0.6,F7III,0.0,0.0,
6410,207223,8330,0,HD 207223,HD 207223/HR 8330,,,,,326.76958333333334,17.194166666666668,94.0,-14.0,-19.0,,6.21,0.34,F3V,0.0,0.0,
6411,211287,8491,0,HD 211287,HD 211287/HR 8491,,,,,333.99916666666667,8.549444444444445,34.0,-11.0,0.0,,6.21,0.02,A1Vn,0.0,0.0,
6412,214698,8624,111884,41 Peg,41 Peg/HD 214698/HR 8624,,,41 Peg,Peg,339.9458333333333,19.68111111111111,-4.0,-10.0,-11.0,,6.21,0.0,A2V,0.0,0.0,
6413,216206,8692,0,HD 216206,HD 216206/HR 8692,,,,,342.5425,50.676944444444445,13.0,4.0,-9.0,,6.21,1.14,G4Ib,0.0,0.0,
6414,217428,8750,113610,3 Psc,3 Psc/HD 217428/HR 8750,,,3 Psc,Psc,345.15791666666667,0.1858333333333333,44.0,13.0,-16.0,,6.21,0.89,G4III,0.0,1.0,
6415,217531,8757,113674,81 Aqr,81 Aqr/HD 217531/HR 8757,,,81 Aqr,Aqr,345.3483333333333,-7.061111111111111,-15.0,-11.0,-2.0,,6.21,1.41,K5III,0.0,0.0,
6416,218560,8811,0,HD 218560,HD 218560/HR 8811,,,,,346.98833333333334,64.2225,10.0,1.0,-28.0,,6.21,1.1,K0,0.0,0.0,
6417,224103,9048,117927,26 Psc,26 Psc/HD 224103/HR 9048,,,26 Psc,Psc,358.7825,7.071111111111111,21.0,-19.0,17.0,,6.21,-0.07,B9V,0.0,0.0,
6418,224870,9083,0,HD 224870,HD 224870/HR 9083,,,,,0.3304166666666667,49.98166666666667,18.0,-6.0,-20.0,,6.22,0.97,G7II-III,0.0,0.0,
6419,5190,252,4084,λ1 Tuc,HD 5190/HR 252/Lam1Tuc/Δ 2/λ1 Tuc,,λ1 Tuc,,Tuc,13.10125,-69.50444444444445,-7.0,-86.0,30.0,,6.22,0.56,F7IV-V,0.0,1.0,
6420,9766,455,7436,101 Psc,101 Psc/HD 9766/HR 455/OCC 803,,,101 Psc,Psc,23.94333333333333,14.661388888888888,4.0,-11.0,-16.0,,6.22,-0.04,B9.5III,0.0,1.0,
6421,14830,697,0,HD 14830,HD 14830/HR 697,,,,,35.740833333333335,-18.354444444444447,149.0,-109.0,20.0,,6.22,0.94,G5,0.0,0.0,
6422,17168,817,0,HD 17168,HD 17168/HR 817,,,,,41.08541666666667,-32.525,20.0,-31.0,21.0,,6.22,0.04,A1V,0.0,0.0,
6423,18153,864,0,HD 18153,HD 18153/HR 864,,,,,44.21083333333334,51.26083333333333,-11.0,-39.0,5.0,,6.22,1.57,K5III,0.0,0.0,
6424,24497,1206,0,HD 24497,HD 24497/HR 1206,,,,,58.30416666666667,-18.434444444444445,11.0,0.0,20.0,,6.22,0.88,gK+F,0.0,0.0,
6425,27026,1328,0,HD 27026,HD 27026/HR 1328,,,,,64.53416666666666,42.14111111111111,29.0,-34.0,7.0,,6.22,-0.08,B9V,0.0,0.0,
6426,29459,1477,0,HD 29459,HD 29459/HR 1477,,,,,69.84625,25.21833333333333,17.0,-15.0,21.0,,6.22,0.16,A5Vn,0.0,0.0,
6427,32147,1614,0,HD 32147,HD 32147/HR 1614,,,,,75.20416666666667,-5.753333333333333,551.0,-1094.0,27.0,110.0,6.22,1.06,K3V,0.0,0.0,
6428,36430,1848,0,HD 36430,HD 36430/HR 1848,,,,,82.83708333333334,-6.708333333333334,10.0,0.0,23.0,,6.22,-0.17,B2V,0.0,0.0,
6429,36779,1873,26106,H 5 118,H 5 118/HD 36779/HR 1873,,,,,83.51625,-1.0355555555555556,7.0,1.0,4.0,,6.22,-0.17,B2.5V,0.0,0.0,
6430,37744,1950,0,HD 37744,HD 37744/HR 1950,,,,,85.15541666666667,-2.825,8.0,10.0,29.0,,6.22,-0.2,B1.5V,0.0,0.0,
6431,38804,2005,0,HD 38804,HD 38804/HR 2005,,,,,86.76958333333333,-28.639166666666664,6.0,6.0,18.0,,6.22,-0.15,B5V,0.0,0.0,
6432,40282,2093,0,HD 40282,HD 40282/HR 2093,,,,,89.47583333333334,1.224444444444445,-69.0,8.0,37.0,,6.22,1.48,M0III,0.0,0.0,
6433,40347,2097,0,HD 40347,HD 40347/HR 2097,,,,,89.54875000000001,0.9941666666666666,7.0,-25.0,61.0,,6.22,1.14,K0,0.0,0.0,
6434,40745,2118,0,HD 40745,HD 40745/HR 2118,,,,,90.07375,-12.899722222222222,-7.0,-39.0,33.0,,6.22,0.36,F0,0.0,0.0,
6435,40325,2096,28438,H 5 91,H 5 91/HD 40325/HR 2096/β 1055,,,,,90.07916666666668,44.59194444444445,-26.0,-41.0,2.0,,6.22,,K2III+K0III,0.0,0.0,
6436,44037,2270,0,HD 44037,HD 44037/HR 2270,,,,,94.78291666666668,-8.586388888888889,-22.0,-10.0,4.0,,6.22,-0.04,B9V,0.0,0.0,
6437,45394,2330,30769,16 Gem,16 Gem/HD 45394/HR 2330,,,16 Gem,Gem,96.98583333333332,20.496111111111112,-35.0,7.0,39.0,,6.22,0.01,A2V s,0.0,0.0,
6438,52362,2626,0,HD 52362,HD 52362/HR 2626,,,,,104.67416666666666,-45.76805555555556,-5.0,-21.0,34.0,,6.22,0.0,A0V,0.0,0.0,
6439,59059,2858,0,HD 59059,HD 59059/HR 2858,,,,,112.19708333333334,15.109444444444444,4.0,-25.0,34.0,,6.22,-0.05,B9IV,0.0,0.0,
6440,65598,3118,38879,I 26,HD 65598/HR 3118/I 26,,,,,119.33333333333334,-47.890277777777776,-20.0,14.0,12.0,7.0,6.22,-0.1,B5V,0.0,0.0,
6441,66011,3144,0,HD 66011,HD 66011/HR 3144,,,,,120.46125000000002,8.91388888888889,-2.0,22.0,4.0,,6.22,0.57,G0IV,0.0,1.0,
6442,73971,3436,0,HD 73971,HD 73971/HR 3436,,,,,130.75083333333333,46.90111111111111,-39.0,-45.0,-7.0,,6.22,0.96,G8III,0.0,0.0,
6443,84850,3887,0,HD 84850,HD 84850/HR 3887,,,,,146.48083333333335,-58.79416666666666,-123.0,59.0,6.0,,6.22,0.46,F5IV,0.0,0.0,
6444,89263,4043,50287,HU 1597,HD 89263/HR 4043/HU 1597,,,,,154.01291666666668,-59.90333333333333,-47.0,16.0,18.0,12.0,6.22,0.2,A5V,0.0,0.0,
6445,101154,4484,56775,Σ 1560,HD 101154/HR 4484/Σ 1560,,,,,174.60041666666666,-2.436111111111112,-31.0,9.0,-15.0,,6.22,1.12,G9III,0.0,0.0,
6446,101695,4506,0,HD 101695,HD 101695/HR 4506,,,,,175.51458333333332,-20.29388888888889,-15.0,-48.0,-14.0,,6.22,0.95,K0,0.0,0.0,
6447,103736,4569,0,HD 103736,HD 103736/HR 4569,,,,,179.22166666666666,61.549166666666665,-31.0,-40.0,17.0,,6.22,0.96,G8III,0.0,0.0,
6448,104625,4598,0,HD 104625,HD 104625/HR 4598,,,,,180.715,-7.683611111111111,-36.0,20.0,-8.0,,6.22,1.49,K5,0.0,0.0,
6449,105437,4622,0,HD 105437,HD 105437/HR 4622,,,,,182.1025,-60.84722222222222,-13.0,3.0,10.0,,6.22,1.74,K3-4II,0.0,0.0,
6450,106343,4653,0,HD 106343,HD 106343/HR 4653,,,,,183.57,-64.40861111111111,-13.0,4.0,-7.0,,6.22,0.12,B1.5Ia,0.0,0.0,
6451,106676,4664,0,HD 106676,HD 106676/HR 4664,,,,,184.0979166666667,-72.61472222222221,-53.0,-26.0,28.0,,6.22,-0.01,A0V,0.0,0.0,
6452,108506,4746,0,HD 108506,HD 108506/HR 4746,,,,,186.965,-4.615277777777777,-86.0,6.0,-12.0,,6.22,0.44,A8n,0.0,1.0,
6453,108530,4747,0,HD 108530,HD 108530/HR 4747,,,,,187.10625,-61.79527777777778,-34.0,-14.0,-14.0,,6.22,1.26,K2III,0.0,0.0,
6454,109492,4790,0,HD 109492,HD 109492/HR 4790,,,,,188.8708333333333,-61.84194444444445,-304.0,-84.0,6.0,,6.22,0.73,G3III,0.0,0.0,
6455,114707,4982,0,HD 114707,HD 114707/HR 4982,,,,,198.2120833333333,-42.69972222222222,-20.0,3.0,-1.0,,6.22,1.06,K0III,0.0,0.0,
6456,116278,5043,0,HD 116278,HD 116278/HR 5043,,,,,200.78625,-33.19,-5.0,-5.0,-13.0,,6.22,1.65,M1III,0.0,1.0,
6457,124990,5344,69792,HDS 2008,HD 124990/HDS 2008/HR 5344,,,,,214.26583333333332,-18.585277777777776,1.0,5.0,-12.0,,6.22,0.98,G5,0.0,0.0,
6458,126141,5387,0,HD 126141,HD 126141/HR 5387,,,,,215.7783333333333,25.33805555555556,-155.0,64.0,-10.0,,6.22,0.37,F5V,0.0,1.0,
6459,128917,5465,0,HD 128917,HD 128917/HR 5465,,,,,220.4820833333333,-58.61611111111111,19.0,-42.0,11.0,,6.22,0.45,F4V,0.0,0.0,
6460,132763,5587,0,HD 132763,HD 132763/HR 5587,,,,,225.4920833333333,-34.35888888888889,-25.0,-20.0,-3.0,,6.22,0.24,A8IV,0.0,0.0,
6461,138105,5749,0,HD 138105,HD 138105/HR 5749,,,,,232.65125,-20.72833333333333,14.0,-19.0,-11.0,,6.22,0.17,A5m,0.0,1.0,
6462,138268,5756,76033,S 672,HD 138268/HR 5756/S 672,,,,,232.9308333333333,-20.16472222222222,-75.0,-28.0,-40.0,,6.22,0.22,A8V,0.0,0.0,
6463,138527,5770,76069,τ2 Ser,12 Ser/12Tau2Ser/HD 138527/HR 5770/τ2 Ser,,τ2 Ser,12 Ser,Ser,233.04041666666663,16.05611111111111,1.0,9.0,-18.0,,6.22,-0.05,B9V,0.0,0.0,
6464,154556,6357,0,HD 154556,HD 154556/HR 6357,,,,,258.0825,-70.72111111111111,41.0,-79.0,-24.0,,6.22,1.06,K1IVCNIII,0.0,0.0,
6465,161941,6633,0,HD 161941,HD 161941/HR 6633,,,,,267.0841666666667,3.8041666666666663,7.0,4.0,-44.0,,6.22,0.16,B9.5V,0.0,0.0,
6466,169223,6887,0,HD 169223,HD 169223/HR 6887,,,,,275.7620833333333,16.688055555555557,-19.0,-16.0,15.0,,6.22,1.2,K0,0.0,0.0,
6467,170773,6948,0,HD 170773,HD 170773/HR 6948,,,,,278.25375,-39.89222222222222,86.0,-86.0,-16.0,,6.22,0.42,F5IV,0.0,0.0,
6468,170873,6954,0,HD 170873,HD 170873/HR 6954,,,,,278.63,-52.89194444444444,-11.0,-54.0,24.0,,6.22,1.25,K2III,0.0,0.0,
6469,172781,7022,0,HD 172781,HD 172781/HR 7022,,,,,281.34875,-56.88166666666667,-54.0,-7.0,69.0,,6.22,1.38,K3III,0.0,0.0,
6470,176795,7199,92717,Σ 2452,HD 176795/HR 7199/Σ 2452,,,,,283.3883333333333,75.7875,13.0,24.0,-17.0,-4.0,6.22,,A1V,0.0,0.0,
6471,175823,7153,0,HD 175823,HD 175823/HR 7153,,,,,283.44291666666663,57.48694444444445,18.0,-6.0,-5.0,,6.22,1.23,gK5,0.0,0.0,
6472,175640,7143,0,HD 175640,HD 175640/HR 7143,,,,,284.09458333333333,-1.8,-5.0,-22.0,-26.0,,6.22,-0.05,B9III,0.0,0.0,
6473,176502,7179,93177,Σ 2431,HD 176502/HR 7179/Σ 2431,,,,,284.6941666666666,40.67916666666667,8.0,0.0,-14.0,,6.22,-0.16,B3V,0.0,0.0,
6474,181470,7338,94932,MIU 1,HD 181470/HR 7338/MIU 1,,,,,289.755,37.445277777777775,14.0,17.0,-14.0,,6.22,-0.03,A0III,0.0,0.0,
6475,186760,7522,0,HD 186760,HD 186760/HR 7522,,,,,295.81083333333333,58.01638888888889,137.0,-60.0,-22.0,45.0,6.22,0.56,G0V,0.0,0.0,
6476,191814,7713,0,HD 191814,HD 191814/HR 7713,,,,,302.7645833333333,21.134722222222223,17.0,34.0,-7.0,,6.22,0.9,K0,0.0,0.0,
6477,191584,7706,0,HD 191584,HD 191584/HR 7706,,,,,303.0995833333333,-42.78055555555555,-14.0,-118.0,-1.0,,6.22,1.23,K1III,0.0,0.0,
6478,193094,7760,100018,β 441,HD 193094/HR 7760/POP 1229/β 441,,,,,304.38125,29.148055555555555,-11.0,32.0,-20.0,9.0,6.22,1.01,G9III,0.0,0.0,
6479,194688,7816,0,HD 194688,HD 194688/HR 7816,,,,,306.5966666666667,17.315555555555555,8.0,-6.0,-17.0,,6.22,1.01,K0,0.0,0.0,
6480,196426,7878,0,HD 196426,HD 196426/HR 7878,,,,,309.32625,0.0969444444444444,0.0,-18.0,-23.0,,6.22,-0.08,B8IIIp,0.0,0.0,
6481,196712,7890,0,HD 196712,HD 196712/HR 7890,,,,,309.805,-2.412777777777778,6.0,9.0,-14.0,,6.22,-0.1,B7IIIne,0.0,0.0,
6482,196317,7872,0,HD 196317,HD 196317/HR 7872,,,,,309.96416666666664,-62.907777777777774,12.0,-78.0,18.0,,6.22,1.1,K1III,0.0,0.0,
6483,197249,7923,0,HD 197249,HD 197249/HR 7923,,,,,310.4925,17.52138888888889,22.0,44.0,-2.0,,6.22,0.94,G8III,0.0,0.0,
6484,206546,8293,107238,OCC 9199,HD 206546/HR 8293/OCC 9199,,,,,325.80625,-19.620833333333334,77.0,-11.0,-25.0,,6.22,0.27,A3m,0.0,0.0,
6485,208801,8382,108506,LDS 4931,HD 208801/HR 8382/LDS 4931,,,,,329.7291666666667,-4.373055555555555,1.0,-254.0,-44.0,34.0,6.22,1.0,K2V,0.0,0.0,
6486,212487,8536,0,HD 212487,HD 212487/HR 8536,,,,,335.9758333333333,38.57361111111111,255.0,119.0,5.0,-5.0,6.22,0.49,F5IV:,0.0,0.0,
6487,417,19,0,HD 417,HD 417/HR 19,,,,,2.2175,25.462777777777777,114.0,31.0,15.0,,6.23,0.97,K0III,0.0,0.0,
6488,1796,86,1772,42 Psc,42 Psc/HD 1796/HR 86/Σ 27,,,42 Psc,Psc,5.606249999999999,13.4825,62.0,21.0,3.0,,6.23,1.22,K3III,0.0,0.0,
6489,5771,281,0,HD 5771,HD 5771/HR 281,,,,,14.593333333333334,-60.69638888888888,50.0,18.0,7.0,,6.23,0.1,Am,0.0,0.0,
6490,8120,387,0,HD 8120,HD 8120/HR 387,,,,,20.14375,-3.2469444444444444,-13.0,6.0,-3.0,,6.23,1.02,K1III,0.0,0.0,
6491,12173,579,9586,Σ 191,HD 12173/HR 579/Σ 191,,,,,30.79375,73.85055555555554,-29.0,-5.0,-5.0,4.0,6.23,,A5III,0.0,0.0,
6492,13372,634,10220,5 Tri,5 Tri/HD 13372/HR 634,,,5 Tri,Tri,32.854166666666664,31.52638888888889,35.0,-13.0,11.0,,6.23,0.11,A1m,0.0,1.0,
6493,15596,731,11698,27 Ari,27 Ari/HD 15596/HR 731,,,27 Ari,Ari,37.72666666666667,17.703888888888887,31.0,-84.0,-118.0,,6.23,0.9,G5III-IV,0.0,0.0,
6494,22798,1116,0,HD 22798,HD 22798/HR 1116,,,,,54.90958333333333,-3.393055555555556,-22.0,-73.0,-18.0,,6.23,1.04,G5,0.0,0.0,
6495,26676,1307,0,HD 26676,HD 26676/HR 1307,,,,,63.395,10.212222222222222,45.0,-26.0,3.0,,6.23,0.05,B8Vn,0.0,0.0,
6496,27650,1371,20498,ΟΣ 80,HD 27650/HR 1371/ΟΣ 80,,,,,65.89958333333334,42.42805555555555,24.0,-32.0,-12.0,2.0,6.23,0.0,A1pSi,0.0,0.0,
6497,28191,1400,0,HD 28191,HD 28191/HR 1400,,,,,66.75291666666666,2.079444444444445,65.0,-47.0,21.0,,6.23,1.09,K1III,0.0,0.0,
6498,31623,1591,0,HD 31623,HD 31623/HR 1591,,,,,74.32166666666667,-1.0672222222222223,-37.0,-28.0,9.0,,6.23,0.42,F2,0.0,0.0,
6499,35640,1806,0,HD 35640,HD 35640/HR 1806,,,,,81.51,-5.5183333333333335,13.0,8.0,18.0,,6.23,-0.06,B9.5Vn,0.0,0.0,
6500,37394,1925,26779,ENG 22,ENG 22/HD 37394/HR 1925,,,,,85.33458333333334,53.48111111111111,2.0,-518.0,2.0,81.0,6.23,0.84,K1V,0.0,0.0,
6501,41269,2139,0,HD 41269,HD 41269/HR 2139,,,,,91.39166666666664,33.59916666666667,8.0,-13.0,25.0,,6.23,-0.08,B9pSi,0.0,0.0,
6502,45506,2340,0,HD 45506,HD 45506/HR 2340,,,,,97.11666666666667,16.238333333333333,-95.0,-47.0,41.0,,6.23,0.9,G5,0.0,0.0,
6503,51825,2612,33451,I 65,HD 51825/HR 2612/I 65,,,,,104.32333333333334,-35.5075,-37.0,8.0,10.0,69.0,6.23,0.46,F8IV-V,0.0,0.0,
6504,51823,2611,0,HD 51823,HD 51823/HR 2611,,,,,104.42666666666666,-27.5375,-34.0,5.0,24.0,,6.23,-0.14,B2.5V,0.0,0.0,
6505,54958,2705,34617,RST 2456,HD 54958/HR 2705/RST 2456,,,,,107.53875,-18.685277777777777,-10.0,16.0,33.0,,6.23,0.4,F0,0.0,0.0,
6506,57708,2807,0,HD 57708,HD 57708/HR 2807,,,,,110.57708333333332,-2.978888888888889,-16.0,3.0,-15.0,,6.23,0.68,F5,0.0,0.0,
6507,63655,3042,0,HD 63655,HD 63655/HR 3042,,,,,117.36916666666666,-13.353333333333332,-35.0,-18.0,-7.0,,6.23,-0.09,B8III,0.0,0.0,
6508,64491,3083,0,HD 64491,HD 64491/HR 3083,,,,,118.92,35.41277777777778,-62.0,-23.0,22.0,,6.23,0.28,A3IVp:,0.0,0.0,
6509,67159,3174,39675,Σ 1183,HD 67159/HR 3174/Σ 1183,,,,,121.61458333333334,-9.245,1.0,-12.0,28.0,,6.23,-0.07,B9V,0.0,0.0,
6510,67959,3198,40058,OCC 417,HD 67959/HR 3198/OCC 417,,,,,122.745,14.629444444444443,-28.0,-14.0,24.0,,6.23,0.02,A1V,0.0,0.0,
6511,75716,3521,43575,53 Cnc,53 Cnc/HD 75716/HJ 460/HR 3521,,,53 Cnc,Cnc,133.11916666666667,28.259166666666665,-17.0,-4.0,11.0,1.0,6.23,1.62,M3III,0.0,1.0,
6512,83550,3843,0,HD 83550,HD 83550/HR 3843,,,,,146.37833333333333,78.13472222222222,4.0,3.0,-27.0,,6.23,1.35,K2III,0.0,0.0,
6513,91767,4151,0,HD 91767,HD 91767/HR 4151,,,,,158.55375,-60.98777777777778,4.0,-3.0,-1.0,,6.23,1.4,K2-3III,0.0,1.0,
6514,95698,4302,53963,8 Crt,8 Crt/B 208/HD 95698/HR 4302,,,8 Crt,Crt,165.60166666666666,-26.83138888888889,65.0,-120.0,1.0,,6.23,0.31,F1V,0.0,0.0,
6515,105078,4612,59008,λ 144,HD 105078/HR 4612/λ 144,,,,,181.48625,-35.693888888888885,-31.0,-2.0,-18.0,,6.23,-0.08,B8V,0.0,1.0,
6516,105138,4614,0,HD 105138,HD 105138/HR 4614,,,,,181.5825,-68.65083333333334,-14.0,20.0,6.0,,6.23,1.24,G3Ib,0.0,0.0,
6517,105920,4637,0,HD 105920,HD 105920/HR 4637,,,,,182.88083333333333,-51.35944444444445,-208.0,-67.0,26.0,,6.23,0.82,G6III+G:,0.0,0.0,
