MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
4535,121164,5229,67782,TOK 569,DRS 52/HD 121164/HR 5229/TOK 569,,,,,208.29291666666663,28.648055555555555,-125.0,27.0,-12.0,,5.9,0.2,A7V,0.0,0.0,
4536,125248,5355,69929,236 Vir,236 Vir/HD 125248/HR 5355,,,236 Vir,Vir,214.65958333333336,-18.71611111111111,-59.0,-42.0,-9.0,,5.9,0.0,A0pCrEu,0.0,1.0,
4537,138265,5755,0,HD 138265,HD 138265/HR 5755,,,,,231.96416666666667,60.67027777777778,-19.0,-2.0,-47.0,,5.9,1.44,K5III,0.0,0.0,
4538,143928,5975,78747,CVN 95,CVN 95/HD 143928/HDO 253/HR 5975,,,,,241.15291666666667,-37.86305555555556,-137.0,-117.0,-6.0,,5.9,0.4,F3IV,0.0,0.0,
4539,162374,6647,0,HD 162374,HD 162374/HR 6647,,,,,268.0566666666667,-34.799166666666665,4.0,-4.0,-13.0,,5.9,-0.1,B6V,0.0,1.0,
4540,166046,6782,88817,100 Her B,100 Her/100 Her B/HD 166046/HR 6782,,,100 Her B,Her,271.95625,26.0975,-2.0,33.0,-16.0,12.0,5.9,0.14,A3V,0.0,1.0,
4541,170650,6943,0,HD 170650,HD 170650/HR 6943,,,,,277.39875,23.866111111111117,0.0,-7.0,-17.0,,5.9,-0.1,B6IV,0.0,0.0,
4542,173654,7059,92117,5 Aql,5 Aql/HD 173654/HR 7059/MCA 53,,,5 Aql,Aql,281.61875,0.9616666666666668,13.0,-22.0,17.0,9.0,5.9,0.13,A2Vm,0.0,0.0,
4543,194335,7807,0,HD 194335,HD 194335/HR 7807,,,,,305.935,37.47638888888889,4.0,-4.0,-30.0,,5.9,-0.2,B2Ven,0.0,1.0,
4544,199612,8026,0,HD 199612,HD 199612/HR 8026,,,,,314.10791666666665,49.19583333333333,9.0,7.0,-15.0,4.0,5.9,1.04,G8II-III,0.0,0.0,
