HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
74137,3441,42662,9 Hya,9 Hya/HJ 4124,,,9 Hya,Hya,,,,0.0,
74385,0,42697,EGN 8,EGN 8/LDS 230,,,,,,,,0.0,
74575,3468,42828,α Pyx,WFC 73/α Pyx,,α Pyx,,Pyx,,,,0.0,
74772,3477,42884,d Vel,HJ 4133/d Vel,,,,,,,,0.0,
75171,3495,42895,TOK 520,EHR 12/TOK 520,,,,,,,,0.0,
74377,0,42940,ENG 39,ENG 39/Σ 1263,,,,,,,,0.0,
74389,0,42994,SKF 2821,SDK 2/SKF 2821,,,,,,,,0.0,
74926,0,43138,Σ 1276,SLE 1024/Σ 1276,,,,,,,,0.0,
0,0,43172,TOK 521,STU 23/TOK 521/Σ 1281,,,,,,,,0.0,
75269,0,43193,SHY 529,B 2188/SHY 529,,,,,,,,0.0,
75333,3500,43305,14 Hya,14 Hya/HUB 9,,,14 Hya,Hya,,,,0.0,
75332,3499,43410,5 LMi,5 LMi/LAF 37,,,5 LMi,LMi,,,,0.0,
75821,3527,43413,f Vel,HDO 205/f Vel,,,,,,,,0.0,
75353,0,43426,SLE 1025,SLE 1025/Σ 1282,,,,,,,,0.0,
75230,0,43485,Σ 1275,HJ 2466/Σ 1275,,,,,,,,0.0,
75737,3523,43496,15 Hya,15 Hya/H 5 120/β 587,,,15 Hya,Hya,,,,0.0,
76163,0,43512,RST 357,HRG 20/RST 357,,,,,,,,0.0,
75700,0,43519,OCC 382,LSC 119/OCC 382,,,,,,,,0.0,
75716,3521,43575,53 Cnc,53 Cnc/HJ 460,,,53 Cnc,Cnc,,,,0.0,
76278,0,43716,SKF 1460,RSS 180/SKF 1460,,,,,,,,0.0,
75959,3532,43721,57 Cnc,57 Cnc/Σ 1291,,,57 Cnc,Cnc,,,,0.0,
0,0,43751,TOK 196,AG 338/TOK 196,,,,,,,,0.0,
76095,0,43766,HO 357,A 2131/HO 357,,,,,,,,0.0,
76728,3571,43783,c Car,HJ 4156/c Car,,,,,,,,0.0,
76589,0,43812,SKF 90,RST 361/SKF 90,,,,,,,,0.0,
76370,3553,43822,17 Hya,17 Hya/17 Hya A/17 Hya B/HD 76369/HD 76370/HIP 43822/HR 3552/HR 3553/SAO 136408/SAO 136409/Σ 1295,,,17 Hya,Hya,,,,1.0,
76483,3556,43825,δ Pyx,δ Pyx/λ 107,,δ Pyx,,Pyx,,,,0.0,
76805,3574,43878,H Vel,H Vel/R 87,,,,,,,,0.0,
0,0,43905,OCC 743,BLL 27/OCC 743,,,,,,,,0.0,
76875,0,43936,HDS 1295,DAM 485/HDS 1295,,,,,,,,0.0,
77002,3582,43937,b1 Car,b1 Car/Δ 74,,,,,,,,0.0,
76740,0,43947,COO 77,COO 77/TOK 63,,,,,,,,0.0,
76838,0,43955,GLI 102,GLI 102/λ 108,,,,,,,,0.0,
76572,3563,44031,61 Cnc,61 Cnc/HO 252,,,61 Cnc,Cnc,,,,0.0,
77026,0,44095,RST 1410,DAM 1513/RST 1410,,,,,,,,0.0,
77370,3598,44143,b2 Car,I 318/SHY 205/b2 Car,,,,,,,,0.0,
77126,0,44190,WOR 36,HU 225/WOR 36,,,,,,,,0.0,
0,0,44236,Σ 1297,OCC 100/Σ 1297,,,,,,,,0.0,
76943,3579,44248,β pm 122,10 UMa/KUI 37/ΟΣ 566/β pm 122,,β pm 122,10 UMa,UMa,,,,0.0,
77417,0,44279,SKF 1464,SKF 1464/TOK 524,,,,,,,,0.0,
77175,0,44295,Σ 1300,ENG 9001/Σ 1300,,,,,,,,0.0,
77104,3587,44307,66 Cnc,66 Cnc/Σ 1298,,,66 Cnc,Cnc,,,,0.0,
77190,3589,44342,67 Cnc,67 Cnc/SHJ 101,,,67 Cnc,Cnc,,,,0.0,
78045,3615,44382,α Vol,TOK 197/α Vol,,α Vol,,Vol,,,,0.0,
78084,0,44435,HJ 4175,HJ 4175/SIN 123,,,,,,,,0.0,
78190,0,44545,HJ 4177,HJ 4177/RST 3620,,,,,,,,0.0,
