;MN;HD;HR;HIP;Gl;Name;OtherDesignations;ProperName;Bayer;Flamsteed;Constellation;RAJ2000;DecJ2000;pmRA;pmDec;RadVel;Distance;Vmag;Vmag_min;Vmag_max;B-V;SpType;Luminosity;XJ2000;YJ2000;ZJ2000;VXJ2000;VYJ2000;VZJ2000;Primary;MultipleID;IsMultiple;IsVariable
1;2;48915;2491;32349;Gl 244A;Sirius;9 CMa/9Alp CMa/Gl 244A/HD 48915/HIP 32349/HR 2491/HYG 32263/MN 2/Sirius/α CMa;Sirius;α CMa;9 CMa;CMa;6,752481;-16,716116;-546,01;-1223,08;-9,4;2,6371;-1,44;-1,333;-1,523;0,009;A0m,,,;22,82443312173504;-0,494323;2,476731;-0,758485;-1,221e-05;-1,207e-05;9,53e-06;32263;Gl 244;1;1
111853;111854;0;0;92403;Gl 729;Ross 154;Gl 729/HIP 92403/HYG 92114/MN 111854/Ross 154;Ross 154;;;Sgr;18,830369;-23,836232;637,55;-192,47;-12,1;2,9698;10,37;10,408;10,338;1,51;M3,5Ve;0,0005465123745199;0,585883;-2,652454;-1,200123;2,47e-06;1,413e-05;6,28e-06;92115;;0;1
118280;118281;0;0;0;Gl 905;Ross 248;Gl 905/HYG 119580/MN 118281/Ross 248;Ross 248;;;And;23,698379;44,174924;84,26;-1607,79;-77,7;3,1686;12,29;;;1,9;dM6  e;0,0001060718149635;2,262649;-0,179022;2,205274;-7,31e-05;4,43e-06;-3,953e-05;119585;;0;0
372;373;22049;1084;16537;Gl 144;Ran;18 Eri/18Eps Eri/Gl 144/HD 22049/HIP 16537/HR 1084/HYG 16496/MN 373/Ran/ε Eri;Ran;ε Eri;18 Eri;Eri;3,548848;-9,458262;-976,44;17,97;16,9;3,2161;3,72;3,735;3,715;0,881;K2V;0,2929543829769431;1,89897;2,541426;-0,528523;-2,56e-06;4,58e-06;2,243e-05;16496;;0;1
22239;22240;217987;0;114046;Gl 887;Lacaille 9352;Gl 887/HD 217987/HIP 114046/HYG 113686/Lacaille 9352/MN 22240;Lacaille 9352;;;PsA;23,097531;-35,853073;6767,26;1326,66;9,5;3,2759;7,35;;;1,483;M2/M3V;0,0107349493580523;2,581532;-0,621353;-1,918773;1,138e-05;9,974e-05;4,484e-05;113687;;0;0
115964;115965;0;0;57548;Gl 447;Ross 128;Gl 447/HIP 57548/HYG 57374/MN 115965/Ross 128;Ross 128;;;Vir;11,795666;0,804563;605,62;-1219,23;-31,1;3,3553;11,12;11,171;11,041;1,746;M4,5V;0,0003496230040027;-3,349892;0,179372;0,047111;-2,028e-05;-1,152e-05;3,095e-05;57375;;0;1
118553;118554;0;0;0;Gl 866A;EZ Aqr;EZ Aqr/Gl 866A/HYG 119513/MN 118554;EZ Aqr;;;Aqr;22,642562;-15,302542;2361,37;2233,03;-60,0;3,3979;12,66;;;1,98;M5  e;8,67760744991e-05;3,069893;-1,139264;-0,895949;5,17e-05;5,369e-05;-3,28e-05;119518;Gl 866;1;0
103261;103262;173740;0;91772;Gl 725B;Struve 2398 B;Gl 725B/HD 173740/HIP 91772/HYG 91486/MN 103262/Struve 2398 B;Struve 2398 B;;;Dra;18,713249;59,626847;-1393,2;1845,73;1,2;3,4545;9,7;;;1,561;K5;0,0013702505971242;0,324167;-1,716358;2,980381;1,669e-05;2,126e-05;-2,776e-05;91484;Gl 725;1;0
2071;2072;201091;8085;104214;Gl 820A;61 Cyg;61 Cyg/Gl 820A/HD 201091/HIP 104214/HR 8085/HYG 103878/MN 2072;;;61 Cyg;Cyg;21,114794;38,749415;4155,1;3258,9;-64,8;3,4865;5,2;5,682;5,002;1,069;K5V;0,0880643228418064;1,979356;-1,863636;2,181892;1,49e-06;0,0001102;-1,456e-05;103879;Gl 820;1;1
114094;114095;0;0;0;Gl 280B;Gl 280B;Gl 280B/HYG 118488/MN 114095;;;;CMi;7,655006;5,226824;-702,34;-1021,92;0,0;3,4974;10,7;;;0,0;DA;0,0005592422830409;-1,462274;3,161021;0,31861;-1,725e-05;6,44e-06;1,014e-05;37173;Gl 280;1;0
